txgrp|ptime|NObs|Variable|Label|N|Mean|Median|StdDev
chemo|baseline|60|GROOVEL_z_adj|Grooved Pegboard Test: Left Hand, sec|58|-0.120|-0.0279|0.736
chemo|baseline|60|GROOVER_z_adj|Grooved Pegboard Test: Right Hand, sec|60|-0.0859|0.148|0.887
chemo|baseline|60|LD_z_adj|CVLT-2: Long Delay Free Recall|60|-0.293|-0.199|1.016
chemo|baseline|60|LM1_z_adj|Wechsler Memory Scale-3: Logical Memory I|59|-0.215|-0.281|1.188
chemo|baseline|60|LM2_z_adj|Wechsler Memory Scale-3: Logical Memory II|59|-0.367|-0.511|1.175
chemo|baseline|60|RAO2_z_adj|PASAT (Rao): 2 second pacing|56|-0.0998|0.0722|0.879
chemo|baseline|60|RAO3_z_adj|PASAT (Rao): 3 second pacing|59|-0.339|0.0813|1.652
chemo|baseline|60|READ_RAW_z_adj|WRAT-3 Reading Score|60|-0.383|-0.364|1.150
chemo|baseline|60|VIGCR_z_adj|CPT: Vigilance, Correct Responses|55|0.0468|0.294|0.687
chemo|baseline|60|VIGFP_z_adj|CPT: Vigilance, False Positives|55|-0.108|-0.404|0.692
chemo|baseline|60|VIGRT_z_adj|CPT: Vigilance, Reaction Time|55|-0.761|-0.447|1.246
chemo|baseline|60|VOC_RAW_z_adj|WASI: Vocabulary|60|-0.418|-0.282|1.203
chemo|posttx|55|AN_NAMES_z_adj|DKEFS Verbal Fluency: anival or clothing and names|55|-0.329|-0.241|1.113
chemo|posttx|55|BD_RAW_z_adj|WASI: Block Design|55|-0.106|-0.0824|0.887
chemo|posttx|55|CFL_z_adj|DKEFS Verbal Fluency|55|0.0536|0.00428|1.125
chemo|posttx|55|CVLT_z_adj|CVLT-2: Trials 1-5 Total|54|-0.114|-0.0907|1.201
chemo|posttx|55|DCCSORT_z_adj|DKEFS Card Sorting: Confirmed Correct Sorts|55|0.217|0.229|1.013
chemo|posttx|55|DCOLT_z_adj|DKEFS Stroop: Color Patch Naming|55|-0.0653|0.0241|0.628
chemo|posttx|55|DCSC_z_adj|DKEFS Verbal Fluency: Switching Fruits/Veget|54|-0.0230|-0.152|1.055
chemo|posttx|55|DCWT_z_adj|DKEFS Stroop: Color-Word|55|-0.0292|0.135|0.732
chemo|posttx|55|DFSDES_z_adj|DKEFS Card Sorting: Free Sorting|55|0.205|0.288|1.040
chemo|posttx|55|DISCR_z_adj|CPT: Distractibility, Correct Responses|50|0.0604|0.229|0.669
chemo|posttx|55|DISFP_z_adj|CPT: Distractibility, False Positives|50|0.180|0.222|0.408
chemo|posttx|55|DISRT_z_adj|CPT: Distractibility, Reaction Time|50|-0.431|-0.325|1.139
chemo|posttx|55|DRECDES_z_adj|DKEFS: Card Sorting, Sort Recognition|55|-0.0605|0.0229|0.940
chemo|posttx|55|DST_z_adj|DKEFS: Stroop, Set Shifting|55|-0.251|-0.326|0.680
chemo|posttx|55|DSY_RAW_z_adj|CVLT-2: Digit Symbol|55|-0.211|-0.270|0.753
chemo|posttx|55|DTR1SC_z_adj|DKEFS Trails: Visual Scanning in Seconds|55|-0.183|-0.0930|0.674
chemo|posttx|55|DTR2SC_z_adj|DKEFS Trails: Number Sequencing, sec|55|-0.0752|-0.0673|0.925
chemo|posttx|55|DTR3SC_z_adj|DKEFS Trails: Letter Sequencing, sec|55|0.0678|0.208|0.730
chemo|posttx|55|DTR4SC_z_adj|DKEFS Trails: Number-Letter Switching, sec|55|-0.0367|0.0434|0.656
chemo|posttx|55|DTR5SC_z_adj|DKEFS Trails: Motor Speed, sec|55|-0.127|0.0744|1.061
chemo|posttx|55|DWRDT_z_adj|DKEFS Stroop: Word Reading, sec|55|-0.221|-0.240|0.638
chemo|posttx|55|FACE1_z_adj|Wechsler Memory Scale-3: Faces I|55|0.655|0.602|0.752
chemo|posttx|55|FACE2_z_adj|Wechsler Memory Scale-3: Faces II|55|0.891|0.921|0.767
chemo|posttx|55|GROOVEL_z_adj|Grooved Pegboard Test: Left Hand, sec|53|-0.200|-0.0696|0.777
chemo|posttx|55|GROOVER_z_adj|Grooved Pegboard Test: Right Hand, sec|54|-0.0814|-0.0692|0.586
chemo|posttx|55|LD_z_adj|CVLT-2: Long Delay Free Recall|54|-0.0197|0.169|1.059
chemo|posttx|55|LM1_z_adj|Wechsler Memory Scale-3: Logical Memory I|55|0.329|0.435|1.091
chemo|posttx|55|LM2_z_adj|Wechsler Memory Scale-3: Logical Memory II|55|0.400|0.439|1.026
chemo|posttx|55|RAO2_z_adj|PASAT (Rao): 2 second pacing|50|0.408|0.333|0.741
chemo|posttx|55|RAO3_z_adj|PASAT (Rao): 3 second pacing|51|0.148|0.353|1.088
chemo|posttx|55|READ_RAW_z_adj|WRAT-3 Reading Score|55|-0.111|0.120|1.087
chemo|posttx|55|VIGCR_z_adj|CPT: Vigilance, Correct Responses|52|0.0946|0.414|0.849
chemo|posttx|55|VIGFP_z_adj|CPT: Vigilance, False Positives|52|-0.198|-0.500|0.893
chemo|posttx|55|VIGRT_z_adj|CPT: Vigilance, Reaction Time|52|-0.485|-0.308|1.161
chemo|posttx|55|VOC_RAW_z_adj|WASI: Vocabulary|55|-0.288|-0.397|0.994
chemo|1yr|49|AN_NAMES_z_adj|DKEFS Verbal Fluency: anival or clothing and names|49|-0.0376|-0.0740|1.271
chemo|1yr|49|BD_RAW_z_adj|WASI: Block Design|49|0.00993|0.00088|0.794
chemo|1yr|49|CFL_z_adj|DKEFS Verbal Fluency|49|0.207|0.252|1.037
chemo|1yr|49|CVLT_z_adj|CVLT-2: Trials 1-5 Total|49|0.130|0.206|1.132
chemo|1yr|49|DCCSORT_z_adj|DKEFS Card Sorting: Confirmed Correct Sorts|49|0.470|0.465|0.974
chemo|1yr|49|DCOLT_z_adj|DKEFS Stroop: Color Patch Naming|49|-0.201|-0.0117|0.894
chemo|1yr|49|DCSC_z_adj|DKEFS Verbal Fluency: Switching Fruits/Veget|49|0.0179|0.199|0.848
chemo|1yr|49|DCWT_z_adj|DKEFS Stroop: Color-Word|49|-0.0733|0.0174|0.791
chemo|1yr|49|DFSDES_z_adj|DKEFS Card Sorting: Free Sorting|49|0.482|0.406|0.969
chemo|1yr|49|DISCR_z_adj|CPT: Distractibility, Correct Responses|43|0.117|0.334|0.604
chemo|1yr|49|DISFP_z_adj|CPT: Distractibility, False Positives|43|0.137|0.217|0.419
chemo|1yr|49|DISRT_z_adj|CPT: Distractibility, Reaction Time|43|-0.344|-0.0403|1.028
chemo|1yr|49|DRECDES_z_adj|DKEFS: Card Sorting, Sort Recognition|48|0.233|0.354|0.896
chemo|1yr|49|DST_z_adj|DKEFS: Stroop, Set Shifting|49|-0.168|-0.280|0.754
chemo|1yr|49|DSY_RAW_z_adj|CVLT-2: Digit Symbol|49|-0.141|-0.135|0.854
chemo|1yr|49|DTR1SC_z_adj|DKEFS Trails: Visual Scanning in Seconds|49|-0.113|-0.0019|0.737
chemo|1yr|49|DTR2SC_z_adj|DKEFS Trails: Number Sequencing, sec|49|0.0779|0.236|0.785
chemo|1yr|49|DTR3SC_z_adj|DKEFS Trails: Letter Sequencing, sec|49|0.0757|0.203|0.754
chemo|1yr|49|DTR4SC_z_adj|DKEFS Trails: Number-Letter Switching, sec|49|0.0662|0.284|0.744
chemo|1yr|49|DTR5SC_z_adj|DKEFS Trails: Motor Speed, sec|49|-0.0340|0.0760|0.853
chemo|1yr|49|DWRDT_z_adj|DKEFS Stroop: Word Reading, sec|49|-0.227|-0.170|0.684
chemo|1yr|49|FACE1_z_adj|Wechsler Memory Scale-3: Faces I|49|0.845|1.023|0.776
chemo|1yr|49|FACE2_z_adj|Wechsler Memory Scale-3: Faces II|49|1.088|1.125|0.673
chemo|1yr|49|GROOVEL_z_adj|Grooved Pegboard Test: Left Hand, sec|48|-0.235|-0.0900|0.997
chemo|1yr|49|GROOVER_z_adj|Grooved Pegboard Test: Right Hand, sec|49|-0.0777|-0.0306|0.698
chemo|1yr|49|LD_z_adj|CVLT-2: Long Delay Free Recall|49|0.0723|0.282|0.952
chemo|1yr|49|LM1_z_adj|Wechsler Memory Scale-3: Logical Memory I|49|0.836|0.704|1.020
chemo|1yr|49|LM2_z_adj|Wechsler Memory Scale-3: Logical Memory II|49|1.063|1.104|0.939
chemo|1yr|49|RAO2_z_adj|PASAT (Rao): 2 second pacing|46|0.374|0.470|0.743
chemo|1yr|49|RAO3_z_adj|PASAT (Rao): 3 second pacing|46|0.423|0.701|0.954
chemo|1yr|49|READ_RAW_z_adj|WRAT-3 Reading Score|49|0.0309|0.329|1.074
chemo|1yr|49|VIGCR_z_adj|CPT: Vigilance, Correct Responses|45|0.251|0.448|0.450
chemo|1yr|49|VIGFP_z_adj|CPT: Vigilance, False Positives|45|0.0787|-0.469|2.715
chemo|1yr|49|VIGRT_z_adj|CPT: Vigilance, Reaction Time|45|-0.434|-0.258|1.024
chemo|1yr|49|VOC_RAW_z_adj|WASI: Vocabulary|49|0.0210|0.161|1.001
chemo|2yr|46|AN_NAMES_z_adj|DKEFS Verbal Fluency: anival or clothing and names|46|-0.0511|-0.129|1.119
chemo|2yr|46|BD_RAW_z_adj|WASI: Block Design|46|0.111|0.316|0.837
chemo|2yr|46|CFL_z_adj|DKEFS Verbal Fluency|46|0.556|0.635|1.057
chemo|2yr|46|CVLT_z_adj|CVLT-2: Trials 1-5 Total|44|0.0915|0.138|1.064
chemo|2yr|46|DCCSORT_z_adj|DKEFS Card Sorting: Confirmed Correct Sorts|46|0.591|0.607|0.941
chemo|2yr|46|DCOLT_z_adj|DKEFS Stroop: Color Patch Naming|45|0.00363|0.0416|0.612
chemo|2yr|46|DCSC_z_adj|DKEFS Verbal Fluency: Switching Fruits/Veget|46|0.0908|0.0200|0.924
chemo|2yr|46|DCWT_z_adj|DKEFS Stroop: Color-Word|45|-0.102|0.0638|0.838
chemo|2yr|46|DFSDES_z_adj|DKEFS Card Sorting: Free Sorting|46|0.610|0.655|0.969
chemo|2yr|46|DISCR_z_adj|CPT: Distractibility, Correct Responses|39|0.190|0.373|0.596
chemo|2yr|46|DISFP_z_adj|CPT: Distractibility, False Positives|39|0.210|0.222|0.373
chemo|2yr|46|DISRT_z_adj|CPT: Distractibility, Reaction Time|39|-0.512|-0.208|1.214
chemo|2yr|46|DRECDES_z_adj|DKEFS: Card Sorting, Sort Recognition|46|0.375|0.519|0.935
chemo|2yr|46|DST_z_adj|DKEFS: Stroop, Set Shifting|45|0.116|-0.0071|0.810
chemo|2yr|46|DSY_RAW_z_adj|CVLT-2: Digit Symbol|46|-0.229|-0.342|0.697
chemo|2yr|46|DTR1SC_z_adj|DKEFS Trails: Visual Scanning in Seconds|46|0.0401|0.117|0.608
chemo|2yr|46|DTR2SC_z_adj|DKEFS Trails: Number Sequencing, sec|46|0.114|0.233|0.895
chemo|2yr|46|DTR3SC_z_adj|DKEFS Trails: Letter Sequencing, sec|46|0.126|0.195|0.812
chemo|2yr|46|DTR4SC_z_adj|DKEFS Trails: Number-Letter Switching, sec|46|0.0845|0.129|0.901
chemo|2yr|46|DTR5SC_z_adj|DKEFS Trails: Motor Speed, sec|46|0.161|0.228|0.762
chemo|2yr|46|DWRDT_z_adj|DKEFS Stroop: Word Reading, sec|45|-0.237|-0.203|0.843
chemo|2yr|46|FACE1_z_adj|Wechsler Memory Scale-3: Faces I|46|0.982|1.103|0.726
chemo|2yr|46|FACE2_z_adj|Wechsler Memory Scale-3: Faces II|46|1.087|1.178|0.727
chemo|2yr|46|GROOVEL_z_adj|Grooved Pegboard Test: Left Hand, sec|45|-0.0354|0.156|0.697
chemo|2yr|46|GROOVER_z_adj|Grooved Pegboard Test: Right Hand, sec|46|-0.0227|0.0690|0.640
chemo|2yr|46|LD_z_adj|CVLT-2: Long Delay Free Recall|44|0.330|0.288|0.744
chemo|2yr|46|LM1_z_adj|Wechsler Memory Scale-3: Logical Memory I|46|1.013|1.145|1.111
chemo|2yr|46|LM2_z_adj|Wechsler Memory Scale-3: Logical Memory II|46|1.215|1.263|0.946
chemo|2yr|46|RAO2_z_adj|PASAT (Rao): 2 second pacing|41|0.697|0.785|0.653
chemo|2yr|46|RAO3_z_adj|PASAT (Rao): 3 second pacing|43|0.699|1.012|0.792
chemo|2yr|46|READ_RAW_z_adj|WRAT-3 Reading Score|46|0.112|0.234|1.042
chemo|2yr|46|VIGCR_z_adj|CPT: Vigilance, Correct Responses|39|0.0870|0.407|0.877
chemo|2yr|46|VIGFP_z_adj|CPT: Vigilance, False Positives|39|-0.264|-0.415|0.461
chemo|2yr|46|VIGRT_z_adj|CPT: Vigilance, Reaction Time|39|-0.636|-0.219|1.215
chemo|2yr|46|VOC_RAW_z_adj|WASI: Vocabulary|44|0.122|0.148|0.947
chemo no|baseline|72|AN_NAMES_z_adj|DKEFS Verbal Fluency: anival or clothing and names|72|-0.185|-0.409|1.197
chemo no|baseline|72|BD_RAW_z_adj|WASI: Block Design|72|-0.286|-0.157|0.892
chemo no|baseline|72|CFL_z_adj|DKEFS Verbal Fluency|72|-0.0357|-0.0375|0.957
chemo no|baseline|72|CVLT_z_adj|CVLT-2: Trials 1-5 Total|72|-0.254|-0.0869|1.053
chemo no|baseline|72|DCCSORT_z_adj|DKEFS Card Sorting: Confirmed Correct Sorts|72|-0.168|0.0943|1.090
chemo no|baseline|72|DCOLT_z_adj|DKEFS Stroop: Color Patch Naming|72|-0.196|-0.0767|1.003
chemo no|baseline|72|DCSC_z_adj|DKEFS Verbal Fluency: Switching Fruits/Veget|72|-0.269|-0.130|0.823
chemo no|baseline|72|DCWT_z_adj|DKEFS Stroop: Color-Word|71|-0.514|-0.236|1.246
chemo no|baseline|72|DFSDES_z_adj|DKEFS Card Sorting: Free Sorting|72|-0.180|0.00461|1.096
chemo no|baseline|72|DISCR_z_adj|CPT: Distractibility, Correct Responses|58|-0.155|0.123|1.054
chemo no|baseline|72|DISFP_z_adj|CPT: Distractibility, False Positives|58|0.0360|0.231|0.885
chemo no|baseline|72|DISRT_z_adj|CPT: Distractibility, Reaction Time|58|-0.165|0.0402|1.377
chemo no|baseline|72|DRECDES_z_adj|DKEFS: Card Sorting, Sort Recognition|72|-0.380|-0.440|0.945
chemo no|baseline|72|DST_z_adj|DKEFS: Stroop, Set Shifting|71|0.0776|-0.0424|1.140
chemo no|baseline|72|DSY_RAW_z_adj|CVLT-2: Digit Symbol|72|-0.413|-0.444|0.899
chemo no|baseline|72|DTR1SC_z_adj|DKEFS Trails: Visual Scanning in Seconds|72|-0.140|-0.0656|0.806
chemo no|baseline|72|DTR2SC_z_adj|DKEFS Trails: Number Sequencing, sec|72|-0.374|-0.221|1.279
chemo no|baseline|72|DTR3SC_z_adj|DKEFS Trails: Letter Sequencing, sec|72|-0.232|0.0142|1.291
chemo no|baseline|72|DTR4SC_z_adj|DKEFS Trails: Number-Letter Switching, sec|72|-0.228|-0.0112|0.982
chemo no|baseline|72|DTR5SC_z_adj|DKEFS Trails: Motor Speed, sec|72|-0.121|0.0866|1.448
chemo no|baseline|72|DWRDT_z_adj|DKEFS Stroop: Word Reading, sec|72|-0.116|-0.119|0.895
chemo no|baseline|72|FACE1_z_adj|Wechsler Memory Scale-3: Faces I|70|-0.0047|0.0238|0.854
chemo no|baseline|72|FACE2_z_adj|Wechsler Memory Scale-3: Faces II|70|0.0187|0.160|0.943
chemo no|baseline|72|GROOVEL_z_adj|Grooved Pegboard Test: Left Hand, sec|72|-0.312|-0.0453|1.218
chemo no|baseline|72|GROOVER_z_adj|Grooved Pegboard Test: Right Hand, sec|72|-0.158|-0.0529|0.973
chemo no|baseline|72|LD_z_adj|CVLT-2: Long Delay Free Recall|72|-0.264|-0.194|0.982
chemo no|baseline|72|LM1_z_adj|Wechsler Memory Scale-3: Logical Memory I|70|-0.0968|-0.0206|1.175
chemo no|baseline|72|LM2_z_adj|Wechsler Memory Scale-3: Logical Memory II|70|-0.172|0.0326|1.293
chemo no|baseline|72|RAO2_z_adj|PASAT (Rao): 2 second pacing|59|-0.214|-0.280|1.000
chemo no|baseline|72|RAO3_z_adj|PASAT (Rao): 3 second pacing|65|-0.521|-0.606|1.462
chemo no|baseline|72|READ_RAW_z_adj|WRAT-3 Reading Score|72|-0.177|-0.0220|1.110
chemo no|baseline|72|VIGCR_z_adj|CPT: Vigilance, Correct Responses|67|-0.0273|0.331|0.871
chemo no|baseline|72|VIGFP_z_adj|CPT: Vigilance, False Positives|67|0.159|-0.401|1.092
chemo no|baseline|72|VIGRT_z_adj|CPT: Vigilance, Reaction Time|66|-0.333|-0.0458|1.019
chemo no|baseline|72|VOC_RAW_z_adj|WASI: Vocabulary|72|-0.519|-0.148|1.294
chemo no|posttx|68|AN_NAMES_z_adj|DKEFS Verbal Fluency: anival or clothing and names|68|-0.156|-0.131|0.906
chemo no|posttx|68|BD_RAW_z_adj|WASI: Block Design|68|-0.131|-0.122|0.913
chemo no|posttx|68|CFL_z_adj|DKEFS Verbal Fluency|68|-0.0289|-0.0269|0.940
chemo no|posttx|68|CVLT_z_adj|CVLT-2: Trials 1-5 Total|67|-0.186|-0.242|1.012
chemo no|posttx|68|DCCSORT_z_adj|DKEFS Card Sorting: Confirmed Correct Sorts|68|-0.0820|-0.0097|1.047
chemo no|posttx|68|DCOLT_z_adj|DKEFS Stroop: Color Patch Naming|68|-0.376|-0.170|1.122
chemo no|posttx|68|DCSC_z_adj|DKEFS Verbal Fluency: Switching Fruits/Veget|68|0.0535|0.115|0.809
chemo no|posttx|68|DCWT_z_adj|DKEFS Stroop: Color-Word|67|-0.391|-0.229|1.153
chemo no|posttx|68|DFSDES_z_adj|DKEFS Card Sorting: Free Sorting|68|-0.0426|0.0180|1.046
chemo no|posttx|68|DISCR_z_adj|CPT: Distractibility, Correct Responses|60|-0.0455|0.227|0.909
chemo no|posttx|68|DISFP_z_adj|CPT: Distractibility, False Positives|61|-0.0483|0.328|1.346
chemo no|posttx|68|DISRT_z_adj|CPT: Distractibility, Reaction Time|61|-0.344|-0.110|1.080
chemo no|posttx|68|DRECDES_z_adj|DKEFS: Card Sorting, Sort Recognition|67|0.00040|0.0487|0.894
chemo no|posttx|68|DST_z_adj|DKEFS: Stroop, Set Shifting|67|0.0621|-0.0765|1.024
chemo no|posttx|68|DSY_RAW_z_adj|CVLT-2: Digit Symbol|68|-0.277|-0.272|0.822
chemo no|posttx|68|DTR1SC_z_adj|DKEFS Trails: Visual Scanning in Seconds|68|0.0255|0.0459|0.780
chemo no|posttx|68|DTR2SC_z_adj|DKEFS Trails: Number Sequencing, sec|68|-0.0353|0.168|1.232
chemo no|posttx|68|DTR3SC_z_adj|DKEFS Trails: Letter Sequencing, sec|68|0.153|0.411|0.939
chemo no|posttx|68|DTR4SC_z_adj|DKEFS Trails: Number-Letter Switching, sec|68|-0.147|0.0885|0.968
chemo no|posttx|68|DTR5SC_z_adj|DKEFS Trails: Motor Speed, sec|68|0.0993|0.299|1.206
chemo no|posttx|68|DWRDT_z_adj|DKEFS Stroop: Word Reading, sec|68|-0.304|-0.268|0.910
chemo no|posttx|68|FACE1_z_adj|Wechsler Memory Scale-3: Faces I|68|0.693|0.863|0.986
chemo no|posttx|68|FACE2_z_adj|Wechsler Memory Scale-3: Faces II|68|0.563|0.590|0.843
chemo no|posttx|68|GROOVEL_z_adj|Grooved Pegboard Test: Left Hand, sec|68|-0.167|0.0697|0.935
chemo no|posttx|68|GROOVER_z_adj|Grooved Pegboard Test: Right Hand, sec|68|-0.0086|0.177|0.882
chemo no|posttx|68|LD_z_adj|CVLT-2: Long Delay Free Recall|67|-0.0999|0.0568|1.044
chemo no|posttx|68|LM1_z_adj|Wechsler Memory Scale-3: Logical Memory I|68|0.239|0.206|1.238
chemo no|posttx|68|LM2_z_adj|Wechsler Memory Scale-3: Logical Memory II|68|0.440|0.371|1.164
chemo no|posttx|68|RAO2_z_adj|PASAT (Rao): 2 second pacing|53|0.139|0.0288|0.796
chemo no|posttx|68|RAO3_z_adj|PASAT (Rao): 3 second pacing|56|-0.0562|0.0779|1.239
chemo no|posttx|68|READ_RAW_z_adj|WRAT-3 Reading Score|68|-0.0363|0.114|1.255
chemo no|posttx|68|VIGCR_z_adj|CPT: Vigilance, Correct Responses|67|0.146|0.467|0.727
chemo no|posttx|68|VIGFP_z_adj|CPT: Vigilance, False Positives|67|-0.283|-0.484|0.562
chemo no|posttx|68|VIGRT_z_adj|CPT: Vigilance, Reaction Time|67|-0.235|-0.0457|0.932
chemo no|posttx|68|VOC_RAW_z_adj|WASI: Vocabulary|66|-0.315|-0.104|1.169
chemo no|1yr|67|AN_NAMES_z_adj|DKEFS Verbal Fluency: anival or clothing and names|67|-0.256|-0.234|1.036
chemo no|1yr|67|BD_RAW_z_adj|WASI: Block Design|67|-0.199|-0.233|0.991
chemo no|1yr|67|CFL_z_adj|DKEFS Verbal Fluency|67|0.158|0.0709|0.957
chemo no|1yr|67|CVLT_z_adj|CVLT-2: Trials 1-5 Total|67|-0.0101|-0.0664|1.045
chemo no|1yr|67|DCCSORT_z_adj|DKEFS Card Sorting: Confirmed Correct Sorts|65|0.279|0.302|0.977
chemo no|1yr|67|DCOLT_z_adj|DKEFS Stroop: Color Patch Naming|67|-0.312|-0.0406|1.142
chemo no|1yr|67|DCSC_z_adj|DKEFS Verbal Fluency: Switching Fruits/Veget|67|-0.102|-0.0266|0.970
chemo no|1yr|67|DCWT_z_adj|DKEFS Stroop: Color-Word|67|-0.383|-0.149|1.150
chemo no|1yr|67|DFSDES_z_adj|DKEFS Card Sorting: Free Sorting|65|0.325|0.339|0.943
chemo no|1yr|67|DISCR_z_adj|CPT: Distractibility, Correct Responses|53|-0.0082|0.307|0.941
chemo no|1yr|67|DISFP_z_adj|CPT: Distractibility, False Positives|52|-0.102|0.324|1.372
chemo no|1yr|67|DISRT_z_adj|CPT: Distractibility, Reaction Time|52|-0.129|0.0731|0.999
chemo no|1yr|67|DRECDES_z_adj|DKEFS: Card Sorting, Sort Recognition|65|0.174|0.143|0.886
chemo no|1yr|67|DST_z_adj|DKEFS: Stroop, Set Shifting|67|0.0232|-0.240|1.244
chemo no|1yr|67|DSY_RAW_z_adj|CVLT-2: Digit Symbol|67|-0.427|-0.411|0.837
chemo no|1yr|67|DTR1SC_z_adj|DKEFS Trails: Visual Scanning in Seconds|67|0.0627|0.199|0.783
chemo no|1yr|67|DTR2SC_z_adj|DKEFS Trails: Number Sequencing, sec|67|0.0555|0.410|1.187
chemo no|1yr|67|DTR3SC_z_adj|DKEFS Trails: Letter Sequencing, sec|67|0.0465|0.188|0.992
chemo no|1yr|67|DTR4SC_z_adj|DKEFS Trails: Number-Letter Switching, sec|67|-0.0902|0.118|0.911
chemo no|1yr|67|DTR5SC_z_adj|DKEFS Trails: Motor Speed, sec|66|0.0865|0.261|1.030
chemo no|1yr|67|DWRDT_z_adj|DKEFS Stroop: Word Reading, sec|67|-0.326|-0.323|0.986
chemo no|1yr|67|FACE1_z_adj|Wechsler Memory Scale-3: Faces I|67|0.810|0.931|0.884
chemo no|1yr|67|FACE2_z_adj|Wechsler Memory Scale-3: Faces II|67|0.851|0.918|0.887
chemo no|1yr|67|GROOVEL_z_adj|Grooved Pegboard Test: Left Hand, sec|67|-0.236|-0.0331|0.975
chemo no|1yr|67|GROOVER_z_adj|Grooved Pegboard Test: Right Hand, sec|67|0.00095|0.146|0.811
chemo no|1yr|67|LD_z_adj|CVLT-2: Long Delay Free Recall|67|-0.0393|0.206|0.937
chemo no|1yr|67|LM1_z_adj|Wechsler Memory Scale-3: Logical Memory I|67|0.546|0.663|1.319
chemo no|1yr|67|LM2_z_adj|Wechsler Memory Scale-3: Logical Memory II|67|0.821|0.941|1.067
chemo no|1yr|67|RAO2_z_adj|PASAT (Rao): 2 second pacing|52|0.331|0.263|0.954
chemo no|1yr|67|RAO3_z_adj|PASAT (Rao): 3 second pacing|55|0.286|0.511|1.039
chemo no|1yr|67|READ_RAW_z_adj|WRAT-3 Reading Score|66|0.0288|0.367|1.106
chemo no|1yr|67|VIGCR_z_adj|CPT: Vigilance, Correct Responses|58|0.295|0.470|0.526
chemo no|1yr|67|VIGFP_z_adj|CPT: Vigilance, False Positives|58|-0.314|-0.419|0.431
chemo no|1yr|67|VIGRT_z_adj|CPT: Vigilance, Reaction Time|58|-0.366|-0.319|1.000
chemo no|1yr|67|VOC_RAW_z_adj|WASI: Vocabulary|65|-0.153|0.113|1.167
chemo no|2yr|64|AN_NAMES_z_adj|DKEFS Verbal Fluency: anival or clothing and names|64|-0.318|-0.521|0.979
chemo no|2yr|64|BD_RAW_z_adj|WASI: Block Design|64|-0.0670|-0.0409|0.822
chemo no|2yr|64|CFL_z_adj|DKEFS Verbal Fluency|64|0.316|0.180|0.947
chemo no|2yr|64|CVLT_z_adj|CVLT-2: Trials 1-5 Total|64|-0.0810|-0.0359|1.010
chemo no|2yr|64|DCCSORT_z_adj|DKEFS Card Sorting: Confirmed Correct Sorts|63|0.208|0.230|0.872
chemo no|2yr|64|DCOLT_z_adj|DKEFS Stroop: Color Patch Naming|63|-0.297|-0.152|1.124
